Código;Descrição;Local
E471760P440BD;E47 17X6,0 4X130 ET40 BLACK DIAMOND;65D e 67D 
E551510G510;E55 15X10,0 5X114 ET-10 BRUTA;
E551510G510GD;E55 15X10 5X114 ET-10 GRAPHITE DIAMOND;24D       
E551510G510HD;E55 15X10 5X114 ET-10 HYPER DIAMOND;23D       
E551510G510P;E55 15X10 5X114 ET-10 POLIDA;32D       
E551510R510;E55 15X10,0 5X139 ET-10 BRUTA;
E551510R510GD;E55 15X10 5X139 ET-10 GRAPHITE DIAMOND;25E       
E551510R510HD;E55 15X10 5X139 ET-10 HYPER DIAMOND;24D       
E551510R510P;E55 15X10 5X139 ET-10 POLIDA;23E       
E551570G50;E55 15X7,0 5X114 ET0 BRUTA;C 1       
E551570G50GD;E55 15X7,0 5X114 ET0 GRAPHITE DIAMOND;24D       
E551570G50HD;E55 15X7,0 5X114 ET0 HYPER DIAMOND;24E       
E551570G50P;E55 15X7,0 5X114 ET0 POLIDA;23E       
E551570G520;E55 15X7,0 5X114 ET20 BRUTA;
E551570G520BD;E55 15X7,0 5X114 ET20 BLACK DIAMOND;25E       
E551570G520GD;E55 15X7,0 5X114 ET20 GRAPHITE DIAMOND;24E       
E551570G520HD;E55 15X7,0 5X114 ET20 HYPER DIAMOND;25D       
E551570G520P;E55 15X7,0 5X114 ET20 POLIDA;
E551570R50;E55 15X7,0 5X139 ET0 BRUTA;C 1       
E551570R50GD;E55 15X7,0 5X139 ET0 GRAPHITE DIAMOND;24E       
E551570R50HD;E55 15X7,0 5X139 ET0 HYPER DIAMOND;24D       
E551570R50P;E55 15X7,0 5X139 ET0 POLIDA;23E       
E551580F50HD;E55 15X8,0 5X112 ET0 HYPER DIAMOND;24E       
E551580G50;E55 15X8,0 5X114 ET0 BRUTA;
E551580G50GD;E55 15X8,0 5X114 ET0 GRAPHITE DIAMOND;24E       
E551580G50HD;E55 15X8,0 5X114 ET0 HYPER DIAMOND;24D       
E551580G50P;E55 15X8 5X114 ET0 POLIDA;23E       
E551580R50;E55 15X8,0 5X139 ET0 BRUTA;
E551580R50GD;E55 15X8,0 5X139 ET0 GRAPHITE DIAMOND;23D       
E551580R50HD;E55 15X8,0 5X139 ET0 HYPER DIAMOND;25E       
E551580R50P;E55 15X8 5X139 ET0 POLIDA;23E       
E56001;CALOTA E56 LISA;
E56002;CALOTA E56 GM;
E56003;CALOTA E56 FORD;
E56004;CALOTA E56 BICUDA;
E56005;CALOTA E56 V8;
E561510GR50BD;E56 15X10 5X114/139 ET0 BLACK DIAMOND;C2        
E561510GR50D;E56 15X10 5X114/139 ET0 DIAMOND;C3        
E561510GR50LVD;E56 15X10 5X114/139 ET0 VERM BORDA DIAM;C2        
E561510R60BD;E56 15X10 6X139 ET0 BLACK DIAMOND;C2        
E561510R60D;E56 15X10 6X139 ET0 DIAMOND;C2        
E561510R60LVD;E56 15X10 6X139 ET0 VERM BORDA DIAM;C2        
E561555F50D;E56 15X5,5 5X112 ET0 DIAMOND;
E561555F50LVD;E56 15X5,5 5X112 ET0 VERM. C/BORDA DIAM;
E561555P40HD;E56 15X5,5 4X130 ET0 HYPER DIAMOND;
E561555P40LVD;E56 15X5,5 4X130 ET0 VERM.. C/BORDA DIAM;
E561565P40HD;E56 15X6,5 4X130 ET0 HYPER DIAMOND;
E561570GR50BD;E56 15X7,0 5X114/139 ET0 BLACK DIAMOND;C3        
E561570GR50D;E56 15X7,0 5X114/139 ET0 DIAMOND;C3        
E561570GR50LVD;E56 15X7,0 5X114/139 ET0 VERM BORD DIAM;C3        
E561570R60BD;E56 15X7,0 6X139 ET0 BLACK DIAMOND;C2 e C3   
E561570R60D;E56 15X7,0 6X139 ET0 DIAMOND;C2 E C3   
E561570R60LVD;E56 15X7,0 6X139 ET0 VERM BORDA DIAM;C3        
E561580GR50BD;E56 15X8 5X114/139 ET0 BLACK DIAMOND;C2  e C3  
E561580GR50D;E56 15X8 5X114/139 ET0 DIAMOND;C2        
E561580GR50LVD;E56 15X8 5X114/139 ET0 VERM. C/BORDA DIA;C3        
E561580R60BD;E56 15X8 6X139 ET0 BLACK DIAMOND;C2 e C3   
E561580R60D;E56 15X8,0 6X139 ET0 DIAMOND;C2        
E561580R60LVD;E56 15X8 6X139 ET0 VERM. C/BORDA DIAM;C2  e C3  
E561770GR50BD;E56 17X7,0 5X114/139 ET0 BLACK DIAMOND;C3        
E561770GR50D;E56 17X7,0 5X114/139 ET0 DIAMOND;C3 e 49D  
E561770GR50LVD;E56 17X7 5X114/139 ET0 VERM. C/BORDA DIA;C3        
E561770L50D;E56 17X7,0 5X120 ET0 DIAMOND;C3        
E561770R60BD;E56 17X7,0 6X139 ET0 BLACK DIAMOND;C3        
E561770R60D;E56 17X7,0 6X139 ET0 DIAMOND;5D / C3   
E561770R60LVD;E56 17X7,0 6X139 ET0 VERM. C/ BORDA DIAM;C3        
E561880GR50BD;E56 18X8,0 5X114/139 ET0 BLACK DIAMOND;C3        
E561880GR50D;E56 18X8,0 5X114/139 ET0 DIAMOND;C3        
E561880GR50LVD;E56 18X8,0 5X114/139 ET0 VERM. BORDA DIA;C3        
E561880R60BD;E56 18X8,0 6X139 ET0 BLACK DIAMOND;C3        
E561880R60D;E56 18X8,0 6X139 ET0 DIAMOND;C3        
E561880R60LVD;E56 18X8,0 6X139 ET0 VERM BORD DIAM;C3        
E5620105GR520BD;E56 20X10,5 5X114/139 ET-20 BLACK DIAM;C3        
E5620105GR520D;E56 20X10,5 5X114/139 ET-20 DIAMOND;C3        
E5620105GR520LVD;E56 20X10,5 5X114/139 ET-20 VER BOR DIAM;C3        
E5620105R620BD;E56 20X10,5 6X139 ET-20 BLACK DIAMOND;C3        
E5620105R620D;E56 20X10,5 6X139 ET-20 DIAMOND;C3        
E5620105R620LVD;E56 20X10,5 6X139 ET-20 VERM BORD DIAM;C3        
E562085GR50BD;E56 20X8,5 5X114/139 ET0 BLACK DIAMOND;C3        
E562085GR50D;E56 20X8,5 5X114/139 ET0 DIAMOND;C4        
E562085GR50LVD;E56 20X8,5 5X114/139 ET0 VERM BORDA DIAM;C3        
E562085R60BD;E56 20X8,5 6X139 ET0 BLACK DIAMOND;C3        
E562085R60D;E56 20X8,5 6X139 ET0 DIAMOND;C3        
E562085R60LVD;E56 20X8,5 6X139 ET0 VERM BORDA DIAMOND;C3        
E581770G50GD;E58 17X7,0 5X114 ET0 GRAPHITE DIAMOND;1D e 1E   
E581770G50HD;E58 17X7,0 5X114 ET0 HYPER DIAMOND;5E        
E581770L50HD;E58 17X7,0 5X120 ET0 HYPER DIAMOND;6E        
E581770R50GD;E58 17X7,0 5X139 ET0 GRAPHITE DIAMOND;6E        
E581770R50HD;E58 17X7,0 5X139 ET0 HYPER DIAMOND;7E / 7D   
E581880G50;E58 18X8,0 5X114 ET0 BRUTA;C2 E C3   
E581880G50GD;E58 18X8,0 5X114 ET0 GRAPHITE DIAMOND;63E       
