codigo,descricao,local,quantidade,est_mk,pend_mk,est_moleri,pend_moleri,est_cm,pend_cm,est_olimpo,pend_olimpo,preco,inventario_id
F52080F5A40BD,"F5 20X8,0 5X112 A ET40 BLACK DIAMOND",Planilha,0,0,0,4,0,0,0,16,0,726,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F52080F5A40GS,"F5 20X8,0 5X112 A ET40 GLOSS SHADOW",Planilha,8,8,0,0,0,8,0,8,0,726,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F52080F5A40HG,"F5 20X8,0 5X112 A ET40 HYPER GLOSS",Planilha,3,3,0,0,0,0,0,24,0,726,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F52080G5A40GS,"F5 20X8,0 5X114 A ET40 GLOSS SHADOW",Planilha,16,16,0,0,0,0,0,0,0,726,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F52080G5A40HG,"F5 20X8,0 5X114 A ET40 HYPER GLOSS",Planilha,16,16,0,0,0,4,0,4,0,726,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G071770B540SS,"G07 17X7,0 5X100 ET40 SILVER STAR",Planilha,4,4,0,0,0,0,0,0,0,460,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G1301770F540BD,"G130 17X7,0 5X112 ET40 BLACK DIAMOND",Planilha,1,1,0,0,0,0,0,0,0,450,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017704108B,"G140 17X7,0 4X108 ET38 BLACK",Planilha,4,4,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017704108SS,"G140 17X7,0 4X108 ET38 SILVER STAR",Planilha,0,0,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G1401770499B,"G140 17X7,0 4X99 ET38 BLACK",Planilha,10,10,0,4,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G1401770499GB,"G140 17X7,0 4X99 ET38 GRAPHITE BRILHANTE",Planilha,8,8,0,4,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
